,AnimalID,Name,DateTime,OutcomeType,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,AgeInDays,Gender,IsDesexed,DayOfWeek,Month,Year,IsWeekend,Hour,TimeOfDay
46,A684475,Daisy,05-08-14 11:15,Return,Cat,Spayed Female,9 years,Domestic Shorthair Mix,White/Black,3285,Female,Yes,Tuesday,Aug,14,False,11,Morning
47,A701804,None,05-05-15 11:46,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black,21,Female,No,Tuesday,May,15,False,12,Morning
48,A697852,Edith,09-03-15 17:57,Adoption,Dog,Spayed Female,5 months,German Shepherd Mix,Black/Brown,150,Female,Yes,Monday,Mar,15,False,18,Evening
49,A666092,None,30-10-13 15:37,Euthanasia,Dog,Intact Male,6 years,Pit Bull/Labrador Retriever,Chocolate/White,2190,Male,No,Wednesday,Oct,13,False,16,Afternoon
50,A684050,None,28-07-14 9:00,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Tortie,365,Female,No,Monday,Jul,14,False,9,Morning
51,A710107,Caty,19-10-15 18:58,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby,90,Female,Yes,Monday,Oct,15,False,19,Evening
52,A682347,None,26-06-14 17:16,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Blue Tabby/White,21,Female,No,Thursday,Jun,14,False,17,Evening
53,A701627,Gabe,14-05-15 12:07,Adoption,Dog,Neutered Male,2 years,Blue Lacy Mix,Gray/White,730,Male,Yes,Thursday,May,15,False,12,Morning
54,A690902,Beth,18-11-14 16:05,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Orange Tabby/White,60,Female,Yes,Tuesday,Nov,14,False,16,Afternoon
55,A712979,None,04-10-15 15:02,Transfer,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Black,7,Male,No,Sunday,Oct,15,True,15,Afternoon
56,A707687,Bashful,16-08-15 13:52,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico,60,Female,Yes,Sunday,Aug,15,True,14,Afternoon
57,A683443,None,18-07-14 16:23,Transfer,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Tan,365,Male,No,Friday,Jul,14,False,16,Afternoon
58,A597644,Lola,16-09-14 14:05,Return,Dog,Spayed Female,4 years,Black Mouth Cur Mix,Tan/Black,1460,Female,Yes,Tuesday,Sep,14,False,14,Afternoon
59,A682784,Sugar,07-07-14 12:38,Adoption,Dog,Neutered Male,2 years,Dachshund/Beagle,Brown/White,730,Male,Yes,Monday,Jul,14,False,13,Afternoon
60,A709863,Orangejello,19-08-15 13:32,Transfer,Cat,Intact Male,1 year,Domestic Shorthair Mix,Orange Tabby/White,365,Male,No,Wednesday,Aug,15,False,14,Afternoon
61,A678506,Prec Punkin',09-05-14 18:07,Euthanasia,Dog,Spayed Female,11 years,Yorkshire Terrier Mix,Brown/Black,4015,Female,Yes,Friday,May,14,False,18,Evening
62,A713029,Wilma,06-10-15 15:07,Transfer,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black,30,Female,No,Tuesday,Oct,15,False,15,Afternoon
63,A712236,Bella,23-09-15 11:45,Adoption,Dog,Spayed Female,2 years,Dachshund Mix,Tan/White,730,Female,Yes,Wednesday,Sep,15,False,12,Morning
64,A683961,None,17-07-14 17:31,Transfer,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black,14,Unknown,Unknown,Thursday,Jul,14,False,18,Evening
65,A714740,Chiquita,27-10-15 18:32,Return,Dog,Spayed Female,6 years,Maltese Mix,White,2190,Female,Yes,Tuesday,Oct,15,False,19,Evening
66,A691847,Hero,08-12-14 15:53,Transfer,Dog,Neutered Male,6 months,Pointer Mix,Black/White,180,Male,Yes,Monday,Dec,14,False,16,Afternoon
67,A711392,Molly,08-09-15 15:31,Transfer,Dog,Intact Female,2 months,English Foxhound,Buff,60,Female,No,Tuesday,Sep,15,False,16,Afternoon
68,A705258,None,16-06-15 9:00,Transfer,Cat,Unknown,2 months,Domestic Shorthair Mix,Brown Tabby/White,60,Unknown,Unknown,Tuesday,Jun,15,False,9,Morning
69,A678172,Bella,10-05-14 18:18,Adoption,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Red,365,Female,Yes,Saturday,May,14,True,18,Evening
70,A676736,Chili,30-04-14 17:55,Adoption,Dog,Neutered Male,2 months,Vizsla Mix,Brown,60,Male,Yes,Wednesday,Apr,14,False,18,Evening
71,A701575,Hastings,29-01-16 14:53,Transfer,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle/White,730,Male,Yes,Friday,Jan,16,False,15,Afternoon
72,A674913,None,25-03-14 18:15,Adoption,Dog,Spayed Female,3 years,German Shepherd/Great Pyrenees,White,1095,Female,Yes,Tuesday,Mar,14,False,18,Evening
73,A706446,Tootsie,18-08-15 11:32,Return,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black,365,Female,No,Tuesday,Aug,15,False,12,Morning
74,A669540,Snookie,28-12-13 16:17,Return,Dog,Spayed Female,4 years,Yorkshire Terrier Mix,Blue/Tan,1460,Female,Yes,Saturday,Dec,13,True,16,Afternoon
75,A709371,Abby,19-08-15 14:28,Transfer,Dog,Spayed Female,2 years,Cardigan Welsh Corgi/Chihuahua Shorthair,Tan,730,Female,Yes,Wednesday,Aug,15,False,14,Afternoon
76,A681410,Nym,22-06-14 17:22,Adoption,Cat,Spayed Female,3 months,Domestic Longhair,Brown Tabby,90,Female,Yes,Sunday,Jun,14,True,17,Evening
77,A675021,None,21-03-14 17:09,Euthanasia,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico,365,Female,No,Friday,Mar,14,False,17,Evening
78,A704179,Zeus,07-06-15 16:07,Adoption,Dog,Neutered Male,2 months,Chow Chow/Pit Bull,Black,60,Male,Yes,Sunday,Jun,15,True,16,Afternoon
79,A717839,None,20-12-15 19:38,Transfer,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Black/White,730,Female,Yes,Sunday,Dec,15,True,20,Evening
80,A700740,Charlie,17-12-15 12:10,Adoption,Dog,Neutered Male,1 year,Chihuahua Shorthair,White,365,Male,Yes,Thursday,Dec,15,False,12,Morning
81,A712376,None,22-09-15 12:10,Euthanasia,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Blue Tabby,14,Unknown,Unknown,Tuesday,Sep,15,False,12,Morning
82,A703952,Taco,30-05-15 18:56,Transfer,Cat,Unknown,4 weeks,Siamese Mix,Seal Point,28,Unknown,Unknown,Saturday,May,15,True,19,Evening
83,A713690,None,12-10-15 9:00,Transfer,Cat,Intact Male,2 years,Domestic Shorthair Mix,Blue Tabby,730,Male,No,Monday,Oct,15,False,9,Morning
84,A691838,Avaddon,09-02-15 17:17,Euthanasia,Dog,Neutered Male,12 years,Pit Bull Mix,Brown Brindle,4380,Male,Yes,Monday,Feb,15,False,17,Evening
85,A687789,None,14-09-14 18:51,Adoption,Dog,Neutered Male,1 year,Dachshund/Beagle,Brown/White,365,Male,Yes,Sunday,Sep,14,True,19,Evening
86,A704754,Arthur,18-07-15 15:37,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black,60,Male,Yes,Saturday,Jul,15,True,16,Afternoon
87,A707531,None,14-07-15 15:04,Transfer,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Black,14,Male,No,Tuesday,Jul,15,False,15,Afternoon
88,A677594,None,26-04-14 18:00,Transfer,Dog,Intact Female,3 months,Labrador Retriever Mix,Black/White,90,Female,No,Saturday,Apr,14,True,18,Evening
89,A667155,None,18-11-13 15:56,Adoption,Cat,Spayed Female,3 months,Domestic Medium Hair Mix,Calico,90,Female,Yes,Monday,Nov,13,False,16,Afternoon
90,A717147,Freeway,15-12-15 14:16,Adoption,Dog,Neutered Male,5 months,Plott Hound Mix,Brown Brindle/White,150,Male,Yes,Tuesday,Dec,15,False,14,Afternoon
91,A687012,Chloe,07-02-16 14:54,Adoption,Dog,Spayed Female,3 years,Boxer/Great Dane,Black,1095,Female,Yes,Sunday,Feb,16,True,15,Afternoon
92,A676200,Georgia,10-04-14 11:49,Transfer,Dog,Spayed Female,7 years,Lhasa Apso,White/Black,2555,Female,Yes,Thursday,Apr,14,False,12,Morning
93,A676680,Hero,06-02-15 18:56,Euthanasia,Dog,Spayed Female,2 years,German Shepherd Mix,Black/Tan,730,Female,Yes,Friday,Feb,15,False,19,Evening
94,A688443,Thelma,29-12-14 15:11,Adoption,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Black,120,Female,Yes,Monday,Dec,14,False,15,Afternoon
95,A715261,Darcy,15-11-15 14:06,Adoption,Dog,Spayed Female,9 years,Beagle/Treeing Walker Coonhound,White/Brown,3285,Female,Yes,Sunday,Nov,15,True,14,Afternoon
96,A717008,Taz,06-12-15 15:12,Transfer,Dog,Neutered Male,7 months,Border Collie Mix,Black/White,210,Male,Yes,Sunday,Dec,15,True,15,Afternoon
97,A683416,None,14-07-14 19:28,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White,60,Male,Yes,Monday,Jul,14,False,19,Evening
98,A690658,None,24-10-14 9:00,Transfer,Cat,Intact Male,3 years,Domestic Shorthair Mix,Black/White,1095,Male,No,Friday,Oct,14,False,9,Morning
99,A695155,None,14-01-15 16:18,Adoption,Dog,Neutered Male,3 years,Border Terrier Mix,Gray,1095,Male,Yes,Wednesday,Jan,15,False,16,Afternoon
100,A679721,Poppy,29-05-14 17:43,Adoption,Dog,Neutered Male,5 years,Chihuahua Shorthair Mix,Tan/White,1825,Male,Yes,Thursday,May,14,False,18,Evening
101,A719113,Dexter,28-01-16 12:05,Transfer,Dog,Neutered Male,5 years,Boxer Mix,Brown Brindle/White,1825,Male,Yes,Thursday,Jan,16,False,12,Morning
102,A665298,None,16-10-13 11:50,Transfer,Cat,Intact Female,2 weeks,Domestic Medium Hair Mix,Blue,14,Female,No,Wednesday,Oct,13,False,12,Morning
103,A708351,None,26-07-15 14:40,Transfer,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black,14,Unknown,Unknown,Sunday,Jul,15,True,15,Afternoon
104,A670681,Matty,30-01-14 14:41,Transfer,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Torbie,1460,Female,Yes,Thursday,Jan,14,False,15,Afternoon
105,A699990,Chubbs,08-04-15 18:06,Return,Dog,Neutered Male,4 years,Cairn Terrier Mix,Tan/White,1460,Male,Yes,Wednesday,Apr,15,False,18,Evening
106,A707767,Lilly,19-07-15 18:27,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,60,Male,Yes,Sunday,Jul,15,True,18,Evening
107,A668362,Minnie,20-12-13 12:02,Return,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Black/Tan,730,Female,Yes,Friday,Dec,13,False,12,Morning
108,A674577,Santiago,23-03-14 18:43,Adoption,Dog,Neutered Male,2 years,Dogo Argentino Mix,White,730,Male,Yes,Sunday,Mar,14,True,19,Evening
109,A674802,Franklin,29-03-14 11:26,Return,Dog,Neutered Male,9 years,Dachshund Mix,Black/Brown,3285,Male,Yes,Saturday,Mar,14,True,11,Morning
110,A672410,Myles,11-02-14 18:16,Return,Dog,Neutered Male,5 years,Beagle Mix,Tricolor,1825,Male,Yes,Tuesday,Feb,14,False,18,Evening
111,A657753,Wiz,06-12-13 16:53,Euthanasia,Dog,Neutered Male,1 year,Chihuahua Shorthair/Dachshund,Yellow Brindle/White,365,Male,Yes,Friday,Dec,13,False,17,Evening
112,A663339,Abby,20-10-13 16:37,Adoption,Dog,Spayed Female,2 years,Pit Bull Mix,Fawn/White,730,Female,Yes,Sunday,Oct,13,True,17,Evening
113,A678229,None,06-05-14 15:59,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby,21,Male,No,Tuesday,May,14,False,16,Afternoon
114,A698694,Boss,06-07-15 15:48,Transfer,Dog,Intact Male,5 months,Pit Bull Mix,White/Brown,150,Male,No,Monday,Jul,15,False,16,Afternoon
115,A695971,None,26-01-15 16:23,Euthanasia,Cat,Intact Male,6 years,Domestic Shorthair Mix,Orange Tabby,2190,Male,No,Monday,Jan,15,False,16,Afternoon
116,A674233,Missy,22-03-14 15:38,Adoption,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan,365,Female,Yes,Saturday,Mar,14,True,16,Afternoon
117,A713392,Basil,05-11-15 0:00,Transfer,Dog,Intact Male,3 months,Chihuahua Shorthair Mix,Black/White,90,Male,No,Thursday,Nov,15,False,0,Night
118,A713968,Katydid,24-10-15 18:29,Transfer,Cat,Intact Female,1 month,Domestic Longhair Mix,Calico,30,Female,No,Saturday,Oct,15,True,18,Evening
119,A701428,Kiki,03-05-15 16:59,Return,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Brown,1095,Female,Yes,Sunday,May,15,True,17,Evening
120,A676146,Desmo,14-04-14 17:00,Return,Dog,Neutered Male,5 years,Dachshund Mix,Black,1825,Male,Yes,Monday,Apr,14,False,17,Evening
121,A679259,Pablo,26-05-14 11:22,Adoption,Dog,Neutered Male,8 years,Miniature Schnauzer/Miniature Poodle,Black,2920,Male,Yes,Monday,May,14,False,11,Morning
122,A688223,None,21-09-14 14:15,Adoption,Dog,Spayed Female,2 months,Labrador Retriever Mix,Black/White,60,Female,Yes,Sunday,Sep,14,True,14,Afternoon
123,A691968,None,14-11-14 11:57,Euthanasia,Cat,Intact Female,7 years,Domestic Shorthair Mix,Tortie,2555,Female,No,Friday,Nov,14,False,12,Morning
124,A688871,Pandora,03-10-14 18:43,Adoption,Cat,Intact Female,2 months,Domestic Shorthair Mix,Black,60,Female,No,Friday,Oct,14,False,19,Evening
125,A674530,Jackson,11-09-14 17:03,Adoption,Dog,Neutered Male,5 years,Pit Bull,Black,1825,Male,Yes,Thursday,Sep,14,False,17,Evening
126,A718604,Watson,31-01-16 17:22,Adoption,Dog,Neutered Male,1 year,Pit Bull Mix,White/Brown,365,Male,Yes,Sunday,Jan,16,True,17,Evening
127,A686520,None,24-08-14 9:00,Transfer,Cat,Intact Male,3 months,Domestic Shorthair Mix,Brown Tabby,90,Male,No,Sunday,Aug,14,True,9,Morning
128,A699094,Levon,22-03-15 18:40,Return,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Brown/White,730,Male,Yes,Sunday,Mar,15,True,19,Evening
129,A394547,Snickerdoodl,25-01-15 11:15,Return,Dog,Spayed Female,9 years,Labrador Retriever Mix,Chocolate/White,3285,Female,Yes,Sunday,Jan,15,True,11,Morning
130,A662685,Lola,22-10-15 17:18,Adoption,Dog,Spayed Female,3 years,Pit Bull Mix,Red/White,1095,Female,Yes,Thursday,Oct,15,False,17,Evening
131,A713977,Jumbly,26-10-15 18:39,Return,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Calico,1095,Female,Yes,Monday,Oct,15,False,19,Evening
132,A707781,Pearl,15-01-16 14:03,Adoption,Dog,Spayed Female,1 year,Chihuahua Shorthair/Jack Russell Terrier,Black/White,365,Female,Yes,Friday,Jan,16,False,14,Afternoon
133,A694699,Pebbles,09-01-15 15:28,Transfer,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Black/Tan,730,Female,Yes,Friday,Jan,15,False,15,Afternoon
134,A696350,Minnie,15-12-15 17:30,Return,Dog,Spayed Female,1 year,Pit Bull,Brown Brindle,365,Female,Yes,Tuesday,Dec,15,False,18,Evening
135,A679102,Merlin,10-06-14 16:41,Transfer,Cat,Neutered Male,2 years,Siamese Mix,Flame Point,730,Male,Yes,Tuesday,Jun,14,False,17,Evening
136,A698341,Parsley,16-05-15 15:19,Return,Dog,Spayed Female,2 years,Tibetan Terrier Mix,Brown,730,Female,Yes,Saturday,May,15,True,15,Afternoon
137,A681481,None,18-06-14 9:00,Transfer,Cat,Intact Female,2 years,Domestic Shorthair Mix,Blue/White,730,Female,No,Wednesday,Jun,14,False,9,Morning
138,A714177,None,20-10-15 9:00,Transfer,Cat,Unknown,3 months,Domestic Shorthair Mix,Tortie,90,Unknown,Unknown,Tuesday,Oct,15,False,9,Morning
139,A689601,Abby,23-11-14 18:55,Adoption,Dog,Spayed Female,1 month,Miniature Pinscher/Chihuahua Shorthair,Tricolor,30,Female,Yes,Sunday,Nov,14,True,19,Evening
140,A685062,None,05-08-14 13:20,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White,60,Male,Yes,Tuesday,Aug,14,False,13,Afternoon
141,A672453,None,16-02-14 19:38,Adoption,Cat,Neutered Male,10 months,Domestic Medium Hair Mix,Cream Tabby,300,Male,Yes,Sunday,Feb,14,True,20,Evening
142,A719480,Ricky,09-02-16 16:31,Transfer,Cat,Spayed Female,2 years,Domestic Medium Hair Mix,Brown Tabby/White,730,Female,Yes,Tuesday,Feb,16,False,17,Evening
143,A702880,Tom,28-06-15 15:33,Adoption,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Calico,60,Female,Yes,Sunday,Jun,15,True,16,Afternoon
144,A714494,Amarillo,01-11-15 19:11,Adoption,Dog,Neutered Male,6 months,Labrador Retriever Mix,Yellow,180,Male,Yes,Sunday,Nov,15,True,19,Evening
145,A711853,Nala,07-11-15 19:14,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby,60,Female,Yes,Saturday,Nov,15,True,19,Evening
146,A688720,None,26-09-14 18:09,Adoption,Dog,Spayed Female,1 year,Dachshund Mix,Tan,365,Female,Yes,Friday,Sep,14,False,18,Evening
147,A689690,Winnie,22-10-14 14:37,Transfer,Dog,Intact Female,6 months,Dachshund Mix,Brown/White,180,Female,No,Wednesday,Oct,14,False,15,Afternoon
148,A679915,Luna,01-06-14 17:48,Adoption,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black/White,365,Female,Yes,Sunday,Jun,14,True,18,Evening
149,A687991,None,12-09-14 18:38,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Calico,21,Male,No,Friday,Sep,14,False,19,Evening
150,A707896,Tokyo,19-02-16 14:58,Adoption,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby,730,Male,Yes,Friday,Feb,16,False,15,Afternoon
151,A702014,Diamond,14-11-15 13:30,Adoption,Dog,Spayed Female,11 months,Blue Lacy Mix,Blue/White,330,Female,Yes,Saturday,Nov,15,True,14,Afternoon
152,A673626,None,03-03-14 16:58,Transfer,Dog,Neutered Male,3 months,Rat Terrier Mix,Tricolor,90,Male,Yes,Monday,Mar,14,False,17,Evening
153,A652097,Minnie,10-02-14 12:34,Return,Dog,Spayed Female,2 years,Dachshund Longhair,Brown,730,Female,Yes,Monday,Feb,14,False,13,Afternoon
154,A685180,Neville,27-09-14 12:25,Transfer,Dog,Neutered Male,2 years,Pit Bull Mix,Red,730,Male,Yes,Saturday,Sep,14,True,12,Morning
155,A707442,Conrad,15-08-15 11:32,Adoption,Dog,Neutered Male,2 years,Pit Bull Mix,Brown/White,730,Male,Yes,Saturday,Aug,15,True,12,Morning
156,A682599,Shiva,03-07-14 18:45,Adoption,Cat,Spayed Female,4 months,Domestic Longhair,Calico,120,Female,Yes,Thursday,Jul,14,False,19,Evening
157,A685452,None,11-08-14 15:17,Transfer,Dog,Intact Female,4 months,Dachshund/Chihuahua Shorthair,Red,120,Female,No,Monday,Aug,14,False,15,Afternoon
158,A688067,None,15-09-14 9:00,Transfer,Cat,Intact Female,5 months,Domestic Shorthair Mix,Torbie,150,Female,No,Monday,Sep,14,False,9,Morning
